suite	cases	case_records	uncompressed_sha256	oracle
smoke	65	test/vectors/smoke.jsonl.gz	4c794b6841e787e43f6c576b9aa2d0bf42548688df51871d2a802eb0f5c6bdca	independent Maude/Python source assertions
domains	40	test/vectors/domains.jsonl.gz	b913eb078e3022432b6136c5e72ee18d00999858226a7f6a69a7596760e0ee90	independent Maude/Python source assertions
codec	2660	test/vectors/codec.jsonl.gz	d9c801b8b40caf4d8c16bf4100917a50a66db6fe37cef2c8d9ca64a5150c33a0	independent Maude/Python source assertions
projection	11016	test/vectors/projection.jsonl.gz	0892c648b6e88ac5dc793fa3a327664cd61df65ee22f5e15a925922034623010	independent Maude/Python source assertions
scalar	33760	test/vectors/scalar.jsonl.gz	27e44c4909d5ecb623b2b9694f231f635a73142a1cea2d7d3e4d9b8ae26f48ac	independent Maude/Python source assertions
order-next	6112	test/vectors/order-next.jsonl.gz	2e2046231a54b6bdeab6c1da12b4bbafe6ec715d31d25a882677dff267dda565	independent Maude/Python source assertions
blocks	140	test/vectors/blocks.jsonl.gz	6536c5ec9dfee545f740e54c79b02c0e102238d499d4ada082d5c05dd50c4ba7	independent Maude/Python source assertions
conformance	13748	test/vectors/conformance.jsonl.gz	654f863baff5a82dbd1c60cba5210b06201ad8fc6b76b5f5310e9b84c5335194	independent Maude/Python source assertions
symbolic	194	test/vectors/symbolic.jsonl.gz	2f4f124d88ae108941cb787bb5071f1f61e585c8bef919acb71d8e1cb64b03a1	independent Maude/Python source assertions
order-full	279840	test/vectors/order-full.jsonl.gz	9dc9e9b3e24958ae617e8cd6a4013cf52ff3e637519a6e1a3c5c5e56ad40c473	independent Maude/Python source assertions
standalone	5	test/vectors/standalone.jsonl.gz	b35f530b79422a5c3948b2cdb50d013d2b2e44a82ecb5ec854740854766b04b4	independent Maude/Python source assertions
